popularity,original_title,director,runtime,production_companies,vote_count,vote_average,release_year,budget_adj,revenue_adj,genres
32.985763,Jurassic World,Colin Trevorrow,124,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,5562,6.5,2015,137999939.280026,1392445892.5238,Action
32.985763,Jurassic World,Colin Trevorrow,124,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,5562,6.5,2015,137999939.280026,1392445892.5238,Adventure
32.985763,Jurassic World,Colin Trevorrow,124,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,5562,6.5,2015,137999939.280026,1392445892.5238,Science Fiction
32.985763,Jurassic World,Colin Trevorrow,124,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,5562,6.5,2015,137999939.280026,1392445892.5238,Thriller
28.419936,Mad Max: Fury Road,George Miller,120,Village Roadshow Pictures|Kennedy Miller Productions,6185,7.1,2015,137999939.280026,348161292.489031,Action
28.419936,Mad Max: Fury Road,George Miller,120,Village Roadshow Pictures|Kennedy Miller Productions,6185,7.1,2015,137999939.280026,348161292.489031,Adventure
28.419936,Mad Max: Fury Road,George Miller,120,Village Roadshow Pictures|Kennedy Miller Productions,6185,7.1,2015,137999939.280026,348161292.489031,Science Fiction
28.419936,Mad Max: Fury Road,George Miller,120,Village Roadshow Pictures|Kennedy Miller Productions,6185,7.1,2015,137999939.280026,348161292.489031,Thriller
13.112507,Insurgent,Robert Schwentke,119,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2480,6.3,2015,101199955.472019,271619025.407628,Adventure
13.112507,Insurgent,Robert Schwentke,119,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2480,6.3,2015,101199955.472019,271619025.407628,Science Fiction
13.112507,Insurgent,Robert Schwentke,119,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2480,6.3,2015,101199955.472019,271619025.407628,Thriller
11.173104,Star Wars: The Force Awakens,J.J. Abrams,136,Lucasfilm|Truenorth Productions|Bad Robot,5292,7.5,2015,183999919.040035,1902723129.80182,Action
11.173104,Star Wars: The Force Awakens,J.J. Abrams,136,Lucasfilm|Truenorth Productions|Bad Robot,5292,7.5,2015,183999919.040035,1902723129.80182,Adventure
11.173104,Star Wars: The Force Awakens,J.J. Abrams,136,Lucasfilm|Truenorth Productions|Bad Robot,5292,7.5,2015,183999919.040035,1902723129.80182,Science Fiction
11.173104,Star Wars: The Force Awakens,J.J. Abrams,136,Lucasfilm|Truenorth Productions|Bad Robot,5292,7.5,2015,183999919.040035,1902723129.80182,Fantasy
9.335014,Furious 7,James Wan,137,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2947,7.3,2015,174799923.088033,1385748801.47052,Action
9.335014,Furious 7,James Wan,137,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2947,7.3,2015,174799923.088033,1385748801.47052,Crime
9.335014,Furious 7,James Wan,137,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2947,7.3,2015,174799923.088033,1385748801.47052,Thriller
9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,3929,7.2,2015,124199945.352024,490314247.021731,Western
9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,3929,7.2,2015,124199945.352024,490314247.021731,Drama
9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,3929,7.2,2015,124199945.352024,490314247.021731,Adventure
9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,3929,7.2,2015,124199945.352024,490314247.021731,Thriller
8.654359,Terminator Genisys,Alan Taylor,125,Paramount Pictures|Skydance Productions,2598,5.8,2015,142599937.256027,405355075.683766,Science Fiction
8.654359,Terminator Genisys,Alan Taylor,125,Paramount Pictures|Skydance Productions,2598,5.8,2015,142599937.256027,405355075.683766,Action
8.654359,Terminator Genisys,Alan Taylor,125,Paramount Pictures|Skydance Productions,2598,5.8,2015,142599937.256027,405355075.683766,Thriller
8.654359,Terminator Genisys,Alan Taylor,125,Paramount Pictures|Skydance Productions,2598,5.8,2015,142599937.256027,405355075.683766,Adventure
7.6674,The Martian,Ridley Scott,141,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,4572,7.6,2015,99359956.2816192,547749654.310152,Drama
7.6674,The Martian,Ridley Scott,141,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,4572,7.6,2015,99359956.2816192,547749654.310152,Adventure
7.6674,The Martian,Ridley Scott,141,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,4572,7.6,2015,99359956.2816192,547749654.310152,Science Fiction
